product_id,category,name,price,article,description,image_path,url,color,sizes,last_update
318802138590,Grade School Pants,Nike Tech Fleece,£ 35.00,318802138590,"Say hello to Tech Fleece! Our premium, lightweight fleece—smooth both inside and out—gives you plenty of warmth without adding bulk. These trousers are an easy win you can count on to stay comfy in the cold. Benefits: We evolved our size range to focus on fit, not gender, to let every kid play their way. Stash your snacks and essentials securely in the zip pocket. The taping details on the zip provide the signature Tech Fleece look. Extra fabric between the legs gives you more room to run, jump and stretch. Product details: Body: 53% cotton/47% polyester. Pocket Bag Knuckle Side: 100% cotton. Printed Futura logo. Drawcord waistband. Machine wash. Imported",data/images/footlocker/products/318802138590,https://www.footlocker.co.uk/en/product/nike-tech-fleece-grade-school-pants/318802138590.html,Platinum Violet-Black,122 - 128 CM;147 - 158 CM;158 - 170 CM,2025-05-13 23:50:48
318801306530,Grade School Pants,Nike Tech Fleece,£ 59.99,318801306530,"Say hello to Tech Fleece! Our premium, lightweight fleece—smooth both inside and out—gives you plenty of warmth without adding bulk. These trousers are an easy win you can count on to stay comfy in the cold. Benefits: We evolved our size range to focus on fit, not gender, to let every kid play their way. Stash your snacks and essentials securely in the zip pocket. The taping details on the zip provide the signature Tech Fleece look. Extra fabric between the legs gives you more room to run, jump and stretch. Product details: Body: 53% cotton/47% polyester. Pocket Bag Knuckle Side: 100% cotton. Printed Futura logo. Drawcord waistband. Machine wash. Imported",data/images/footlocker/products/318801306530,https://www.footlocker.co.uk/en/product/nike-tech-fleece-grade-school-pants/318801306530.html,Lt Univ Red Htr-Black-Black,122 - 128 CM;128 - 137 CM;158 - 170 CM,2025-05-13 23:50:48
318801307880,Grade School Pants,Nike Tech Fleece,£ 50.00,318801307880,"Say hello to Tech Fleece! Our premium, lightweight fleece—smooth both inside and out—gives you plenty of warmth without adding bulk. These trousers are an easy win you can count on to stay comfy in the cold. Benefits: We evolved our size range to focus on fit, not gender, to let every kid play their way. Stash your snacks and essentials securely in the zip pocket. The taping details on the zip provide the signature Tech Fleece look. Extra fabric between the legs gives you more room to run, jump and stretch. Product details: Body: 53% cotton/47% polyester. Pocket Bag Knuckle Side: 100% cotton. Printed Futura logo. Drawcord waistband. Machine wash. Imported",data/images/footlocker/products/318801307880,https://www.footlocker.co.uk/en/product/nike-tech-fleece-grade-school-pants/318801307880.html,Black-Black-Black,122 - 128 CM;128 - 137 CM,2025-05-13 23:50:48
318802392340,Grade School Pants,Nike Tech Fleece,£ 74.99,318802392340,"Say hello to Tech Fleece! Our premium, lightweight fleece—smooth both inside and out—gives you plenty of warmth without adding bulk. These trousers are an easy win you can count on to stay comfy in the cold. Benefits: We evolved our size range to focus on fit, not gender, to let every kid play their way. Stash your snacks and essentials securely in the zip pocket. The taping details on the zip provide the signature Tech Fleece look. Extra fabric between the legs gives you more room to run, jump and stretch. Product details: Body: 53% cotton/47% polyester. Pocket Bag Knuckle Side: 100% cotton. Printed Futura logo. Drawcord waistband. Machine wash. Imported",data/images/footlocker/products/318802392340,https://www.footlocker.co.uk/en/product/nike-tech-fleece-grade-school-pants/318802392340.html,Sea Glass-Black-Black,128 - 137 CM;158 - 170 CM,2025-05-13 23:50:48
318802600580,Grade School Pants,Nike Tech Fleece,£ 78.99,318802600580,"Say hello to Tech Fleece! Our premium, lightweight fleece—smooth both inside and out—gives you plenty of warmth without adding bulk. These trousers are an easy win you can count on to stay comfy in the cold. Benefits: We evolved our size range to focus on fit, not gender, to let every kid play their way. Stash your snacks and essentials securely in the zip pocket. The taping details on the zip provide the signature Tech Fleece look. Extra fabric between the legs gives you more room to run, jump and stretch. Product details: Body: 53% cotton/47% polyester. Pocket Bag Knuckle Side: 100% cotton. Printed Futura logo. Drawcord waistband. Machine wash. Imported",data/images/footlocker/products/318802600580,https://www.footlocker.co.uk/en/product/nike-tech-fleece-grade-school-pants/318802600580.html,Anthracite-Black-Black,XL,2025-05-13 23:50:48
318802601830,Grade School Pants,Nike Tech Fleece,£ 83.99,318802601830,"Say hello to Tech Fleece! Our premium, lightweight fleece—smooth both inside and out—gives you plenty of warmth without adding bulk. These trousers are an easy win you can count on to stay comfy in the cold. Benefits: We evolved our size range to focus on fit, not gender, to let every kid play their way. Stash your snacks and essentials securely in the zip pocket. The taping details on the zip provide the signature Tech Fleece look. Extra fabric between the legs gives you more room to run, jump and stretch. Product details: Body: 53% cotton/47% polyester. Pocket Bag Knuckle Side: 100% cotton. Printed Futura logo. Drawcord waistband. Machine wash. Imported",data/images/footlocker/products/318802601830,https://www.footlocker.co.uk/en/product/nike-tech-fleece-grade-school-pants/318802601830.html,Dark Beetroot-Dark Beetroot-White,XL,2025-05-13 23:50:48
318803333801,Grade School Sweatshirts,Nike Air,£ 49.99,318803333801,"Smooth on the outside and brushed for warmth and softness on the inside, this easy-fitting sweatshirt feels as good as it looks. Plus, a colour-block design and bold Nike Air logo give you eye-catching style. Product details: Body: 80% cotton/20% polyester. Rib: 97% cotton/3% elastane. Embroidered Nike Air logo. Machine wash. Imported",data/images/footlocker/products/318803333801,https://www.footlocker.co.uk/en/product/nike-air-grade-school-sweatshirts/318803333801.html,Black-Anthracite,137 - 147 CM,2025-05-13 23:50:44
318802857180,Grade School Hoodies,Nike Tech Colorblock,£ 50.00,318803240070,"<h3><strong>Layer Up and Play On!</strong></h3>	<p> </p>	<p>Let your kids say &#39;Hello!&#39; to adventure with the Nike Sportswear Tech Fleece Hoodie. Crafted from premium lightweight fleece, this hoodie offers all the warmth without the bulk to keep your kids ready to take on the day. The smooth fabric feels fantastic both inside and out, while the signature Tech Fleece look shines through with stylish taping and seam details. With a handy zippered pocket, there&#39;s secure storage for your kiddos&#39; snacks and secret mission essentials. Watch your kids turn every day into an opportunity to play with the Nike Sportswear Tech Fleece Hoodie.</p>	<p> </p>	<h3><strong>Nike Sportswear Tech Fleece Hoodie Features:</strong></h3>	<p> </p>	<ul>		<li>Body: 53% cotton/ 47% polyester; Hood lining: 69% cotton/31% polyester</li>		<li>Taping and seam details</li>		<li>Zippered pocket</li>		<li>Side hand pockets</li>		<li>Cuffs finished with a smooth, stretchy binding</li>		<li>Machine wash</li>		<li>Imported</li>	</ul>",data/images/footlocker/products/318802857180,https://www.footlocker.co.uk/en/product/nike-tech-colorblock-grade-school-hoodies/318802857180.html,Black-Cool Grey-White,122 - 128 CM;128 - 137 CM;137 - 147 CM;147 - 158 CM;158 - 170 CM,2025-05-13 23:50:52
318802898779,Grade School Hoodies,Nike Tech Colorblock,£ 50.00,318803240070,"<h3><strong>Layer Up and Play On!</strong></h3>	<p> </p>	<p>Let your kids say &#39;Hello!&#39; to adventure with the Nike Sportswear Tech Fleece Hoodie. Crafted from premium lightweight fleece, this hoodie offers all the warmth without the bulk to keep your kids ready to take on the day. The smooth fabric feels fantastic both inside and out, while the signature Tech Fleece look shines through with stylish taping and seam details. With a handy zippered pocket, there&#39;s secure storage for your kiddos&#39; snacks and secret mission essentials. Watch your kids turn every day into an opportunity to play with the Nike Sportswear Tech Fleece Hoodie.</p>	<p> </p>	<h3><strong>Nike Sportswear Tech Fleece Hoodie Features:</strong></h3>	<p> </p>	<ul>		<li>Body: 53% cotton/ 47% polyester; Hood lining: 69% cotton/31% polyester</li>		<li>Taping and seam details</li>		<li>Zippered pocket</li>		<li>Side hand pockets</li>		<li>Cuffs finished with a smooth, stretchy binding</li>		<li>Machine wash</li>		<li>Imported</li>	</ul>",data/images/footlocker/products/318802898779,https://www.footlocker.co.uk/en/product/nike-tech-colorblock-grade-school-hoodies/318802898779.html,Dk Grey Heather-Black,122 - 128 CM;128 - 137 CM;137 - 147 CM;147 - 158 CM;158 - 170 CM,2025-05-13 23:50:52
318802899010,Grade School Hoodies,Nike Tech Colorblock,£ 50.00,318803240070,"<h3><strong>Layer Up and Play On!</strong></h3>	<p> </p>	<p>Let your kids say &#39;Hello!&#39; to adventure with the Nike Sportswear Tech Fleece Hoodie. Crafted from premium lightweight fleece, this hoodie offers all the warmth without the bulk to keep your kids ready to take on the day. The smooth fabric feels fantastic both inside and out, while the signature Tech Fleece look shines through with stylish taping and seam details. With a handy zippered pocket, there&#39;s secure storage for your kiddos&#39; snacks and secret mission essentials. Watch your kids turn every day into an opportunity to play with the Nike Sportswear Tech Fleece Hoodie.</p>	<p> </p>	<h3><strong>Nike Sportswear Tech Fleece Hoodie Features:</strong></h3>	<p> </p>	<ul>		<li>Body: 53% cotton/ 47% polyester; Hood lining: 69% cotton/31% polyester</li>		<li>Taping and seam details</li>		<li>Zippered pocket</li>		<li>Side hand pockets</li>		<li>Cuffs finished with a smooth, stretchy binding</li>		<li>Machine wash</li>		<li>Imported</li>	</ul>",data/images/footlocker/products/318802899010,https://www.footlocker.co.uk/en/product/nike-tech-colorblock-grade-school-hoodies/318802899010.html,Summit White-Khaki,122 - 128 CM,2025-05-13 23:50:52
